,Unnamed: 0,Item,Cost,size,Wear,Category
0,0,Nike Dri-Fit Black/White Shorts,14.0,Size: XS,,
1,1,Nike Dri FIT Womens Legend 2.0 SLIM Fit Capris Women's Size Medium M,18.0,Size: M,,
2,2,Seattle Seahawks shirt,12.0,Size: XS,,
3,3,Nike Pro Girls XL Printed Capri Leggings,15.0,Size: XL (Girl),,
4,4,Nike Black Crop Top Tied Back Short Sleeve Small,40.0,Size: S,,
5,5,Nike Vintage Blazer size 9,90.0,Size: 9,,
6,6,"NIKE Red Python Print Joggers w Drawstring Waist & Mesh Lining, Size Large",48.0,Size: L,,
7,7,Nike Dunk Low Black Silver GS NWT,185.0,Size: 8,,
8,8,NIKE VINTAGE BLEACHED DYE GRAPHIC COTTON TEE S,28.0,Size: S,,
9,9,Nike Women's Small V Neck Blue Touch Down Tee T Shirt,25.0,Size: Small,,
10,10,Nike Running Dri-Fit Men's Short Sleeve Athletic T-Shirt Size Small,34.0,Size: S,,
11,11,Nike Cropped Leggings,25.0,Size: S,,
12,12,NWT Nike React Infinity Run FK 3 Women’s Shoes NWT,99.0,Size: Various,,
13,13,Nike Shirt Womens Long Sleeve Running Just Do It Distance Run Top Size Medium,15.0,Size: M,,
14,14,Tiger Woods Nike Golf Polo Medium Purple Excellent Condition,17.0,Size: M,,
15,15,Nike Wmns Air Max 97 LX Sakura Pack NWT,180.0,Size: 6,,
16,16,Nike Sf Air Force 1 ridgerock black sequoia mens size US 12,79.0,Size: 12,,
17,17,Nike OG Retro GTS Sneakers '97 Boarder Blue Jordan Dunk Low Top SB Men's Sz 8.5,246.0,Size: 8.5,,
18,18,NWT Nike Wide Leg Cropped Black Yoga Pants NWT,54.0,Size: M,,
19,19,Nike Women's Reax Run 7 Sneakers Gray Coral Size 8,30.0,Size: 8,,
20,20,Black Nike Shorts,13.0,Size: M,,
21,21,Nike Track Jacket,12.0,Size: 4 (Boy),,
22,22,Nike Mens Black Standard Fit Sweatpants Jogger,65.0,Size: S,,
23,23,Nike Dri Fit Florida Gators Women's Large Short Sleeve Athletic Blue Polo Shirt,25.0,Size: L,,
24,24,Womens Nike Air Presto DX3376-400 Size 9 Blue Plate Special Floral Nwob,85.0,Size: 9,,
25,25,"Nike Hoodie $80 Retail, Black & Rose Gold Oversized Sweatshirt, Medium",59.0,Size: M,,
26,26,Nike Men's Lebron Witness V Summit White Metallic Bronze Shoes NWT,89.0,Size: 9.5,,
27,27,Nike Stock Reversible Tank Top Lacrosse Practice Jersey Racerback Women Size-S NWT,26.0,Size: S,,
28,28,WMNS Nike Air Max Oketo NWT,89.0,Size: Various,,
29,29,Nike swim trunks board shorts black small,16.0,Size: S,,
30,30,Nike yellow tank top athletic active sportswear size Large workout exercise,10.0,Size: L,,
31,31,Nike Air Max 270- Womens- Size 9.5- Violet Blue- [AH6789-402]- Running Shoes,60.0,Size: 9.5,,
32,32,Nike FC Barcelona Jersey Men's XXL Blue,33.0,Size: XXL,,
33,33,𝅺NIKE+ Nike Plus Sportband Purpleish Pink Adjustable Fitness Running Wearable,20.0,Size: OS,,
34,34,"Nike, Dri Fit tank, small",19.0,Size: S,,
35,35,Nike Girl's Black Swooshfetti Logo Dri-FIT Tempo Shorts Running DA1014-100 Sz XS NWT,16.0,Size: XS (Girl),,
36,36,Nike x Pigalle T-Shirt NWT,80.0,Size: XS,,
37,37,Nike Phantom GT Academy Dynamic Fit FG Soccer Cleats,55.0,Size: Various,,
38,38,"Nike Dri Fit black & white leggings w/ mesh, front coin pocket, drawstring, M",49.0,Size: M,,
39,39,Vintage Authentic Team Nike Barry Sanders Wichita North High School Jersey size,90.0,Size: AU XXL,,
40,40,COPY - Girls Nike Shorts,15.0,Size: S (Girl),,
41,41,Nike Sneakers Air Foamposite Rare Island Green Like NEW IN BOX Women’s Size 6.5,149.0,Size: 6.5,,
42,42,NIKE pink shorts bottoms dri-fi XS activewear gym workout athletic running short,50.0,Size: XS,,
43,43,Nike Pink Gray Active Sport Athleisure Shorts Women's Size Small S,12.0,Size: S,,
44,44,WOMENS NIKE AIR MAX 97 NWT,110.0,Size: Various,,
45,45,Nike Custom Air Force 1 Squid Game NWT NWT,265.0,Size: Various,,
46,46,Nike Mens Hoodie Pullover Sweatshirt Big Center Swoosh Carpet Patch Faded XL,38.0,Size: XL,,
47,0,Size 12 - Nike Force Trout 7 Pro Black,64.0,,New (Other),New (Other) · Nike · Nike Force
48,1,NEW Nike Dunk Low Panda Black/White Size 7 - 12 Mens / Wmns / GS Kids Sizes,204.99,,Brand New,Brand New
49,2,Nike Sportswear Velour Track Jacket CJ4912-492 Women's Size L XL,39.95,,Brand New,Brand New
50,3,Nike Air Jordan 3 Retro Shoes Wizards True Blue White CT8532-148 Men's or GS NEW,167.99,,Brand New,Brand New
51,4,Nike Dunk Low Retro White Black Panda MENS DD1391-100 WOMENS DD1503-101,120.0,,Brand New,Brand New
52,5,Nike Air Force One 1 Low Top White Men/Women/GS/PS/Toddler/Crib Sz 1c-15 ,59.99,,Brand New,Brand New
53,6,Nike Men LeBron Witness 6 (Team) Basketball Shoes Black/Black/White US,59.99,,Brand New,Brand New
54,7,Nike Dunk Low Retro White Black Panda DD1391-100,129.99,,Brand New,Brand New
55,8,Nike COURT VISION LOW NN Men's White Navy Blue DH2987-106 Athletic Sneaker Shoes,64.95,,Brand New,Brand New
