,Unnamed: 0.1,Unnamed: 0,Item,Cost,size,Likes,ImgLink,Wear,Category
119,119,72,Air Jordan 1 Low Travis Scott Black Phantom DM7866-001 Fashion Shoes,460.0,,,https://i.ebayimg.com/thumbs/images/g/6VMAAOSw6DFkKv~O/s-l300.jpg,Brand New,Brand New
112,112,65,Nike x Jarritos SB Dunk Low Phantom and Malachite (FD0860-001),364.0,,,https://i.ebayimg.com/thumbs/images/g/wIMAAOSwT7VkYwLu/s-l300.jpg,Brand New,Brand New
64,64,17,Nike Air Max 1 Travis Scott Cactus Jack DO9392-701 Fashion Shoes,325.5,,,https://i.ebayimg.com/thumbs/images/g/GBcAAOSw0iJkMEGk/s-l300.jpg,Brand New,Brand New
14,14,14,🥑 Custom nike air force 1 low avocado sage green NWT,299.0,Size: Various,345.0,,,
31,31,31,Vintage All Black Air Jordan 4 ▷○BLACK CAT○◁,286.0,Size: Various,5.0,,,
87,87,40,Sz 7-13 Nike Air Jordan 14 XIV Retro Laney Varsity Royal Black Maize 487471-407,254.99,,,https://i.ebayimg.com/thumbs/images/g/xgAAAOSwej5kayLb/s-l300.jpg,Brand New,Brand New
26,26,26,Nike Mens Air Max 270 G Golf Shoes Black White NWT,220.0,Size: 11.5,10.0,,,
103,103,56,Nike Air Jordan 13 Retro Shoes Black Flint Gray White DJ5982-060 Men's NEW,217.99,,,https://i.ebayimg.com/thumbs/images/g/HqcAAOSws8xkWScW/s-l300.jpg,Brand New,Brand New
56,56,9,Nike Air Max 1 Travis Scott Cactus Jack DO9392-701 Fashion Shoes,213.9,,,https://i.ebayimg.com/thumbs/images/g/GBcAAOSw0iJkMEGk/s-l300.jpg,Brand New,Brand New
47,47,0,NEW Nike Dunk Low Panda Black/White (Size 7 - 13 Mens) / Womens 12 / 10.5,204.99,,,https://i.ebayimg.com/thumbs/images/g/i5IAAOSwJYhjzu-n/s-l300.jpg,Brand New,Brand New
113,113,66,Nike Ja 1 Hunger Red Blue DR8785-401 Unreleased Men’s NEW IN HAND SHIPS NOW,199.99,,,https://i.ebayimg.com/thumbs/images/g/rtkAAOSwZb5kbp0Y/s-l300.jpg,Brand New,Brand New
0,0,0,Nike Shox Conundrum White Grey Leather Shoes 407988-107 Sneaker Size Men’s 13,199.0,Size: 13,14.0,https://di2ponv0v5otw.cloudfront.net/posts/2023/03/13/640f3f6e5d686bcb2a635efe/s_640f3fc5678c3a41cfe4e968.jpg,,
67,67,20,Nike Mac Attack OG Light Smoke Grey FB8938-001,195.0,,,https://i.ebayimg.com/thumbs/images/g/xIYAAOSw4pRkdoKI/s-l300.jpg,Brand New,Brand New
10,10,10,"Nike Dunk Low ""Team Red"" | 9.5 Men / 11 Women",185.0,Size: 9.5,7.0,https://di2ponv0v5otw.cloudfront.net/posts/2023/05/25/646f60c78e40fd6ab3be41d7/s_646f621258083d9c8687f077.jpeg,,
75,75,28,Nike JA 1 EP Day One Ja Morant Cobalt Bliss Blue Men Basketball Shoes DR8786-400,184.99,,,https://i.ebayimg.com/thumbs/images/g/KakAAOSwDMZkYuAy/s-l300.jpg,Brand New,Brand New
89,89,42,Nike Air Jordan 5 Retro SE Craft Light Orewood Brown FD9222-180 Mens New,177.99,,,https://i.ebayimg.com/thumbs/images/g/3m0AAOSwttdkcq1R/s-l300.jpg,Brand New,Brand New
97,97,50,Nike Air Jordan 11 Retro Low Cement Grey White AV2187-140 Mens New,175.99,,,https://i.ebayimg.com/thumbs/images/g/fUEAAOSwc1pkHZjb/s-l300.jpg,Brand New,Brand New
